"","Fraud","Fraud_times_30","Fraud_times_14","Fraud_times_7","Fraud_times_3","Fraud_times_1","Total_amount_card_7","Total_amount_card_14","Max_amount_card_30","Total_amount_card_3","Avg_amount_merch_3","Avg_amount_card_3","Max_amount_card_14","Avg_amount_card_30","Median_amount_card_3","Max_amount_card_3","Total_amount_card_30","Max_amount_card_7","Max_amount_merch_3","Total_amount_merch_7","Total_amount_merch_3"
"88927",1,0,0,0,0,0,0,327.47,327.47,0,35.26,0,327.47,327.47,0,0,327.47,0,67.62,5198.49,246.82
"88928",1,0,0,0,0,0,0,327.47,327.47,0,35.26,0,327.47,327.47,0,0,327.47,0,67.62,5198.49,246.82
"88929",1,6,6,6,1,0,11771.01,11854.22,3416.87,4167.45,750.74,1389.15,3416.87,825.7853,500.82,3416.87,12386.78,3416.87,900,1521.72,1501.48
"88930",1,0,0,0,0,0,0,327.47,327.47,0,35.26,0,327.47,327.47,0,0,327.47,0,67.62,5198.49,246.82
"88931",0,0,0,0,0,0,134.19,134.19,134.19,134.19,134.19,134.19,134.19,134.19,134.19,134.19,134.19,134.19,134.19,268.38,268.38
"88932",0,0,0,0,0,0,574,3659.54,1496.86,574,0,574,1496.86,768.665,574,574,4611.99,574,0,429.6,0
"88933",0,0,0,0,0,0,55,899,1644,55,171.92,55,330,232.9816,55,55,4426.65,55,233.94,9319.79,343.84
"88934",0,0,0,0,0,0,239.36,1225.51,999.98,0,269.745,0,970.15,456.2522,0,0,4106.27,119.68,415.8,798.32,539.49
"88935",0,0,0,0,0,0,3381.67,3406.75,2278,3381.67,0,1127.223,2278,758.4714,1076.13,2278,5309.3,2278,0,911,0
"88936",1,0,0,0,0,0,0,327.47,327.47,0,35.26,0,327.47,327.47,0,0,327.47,0,67.62,5198.49,246.82
"88937",0,0,0,0,0,0,32763.24,43749.75,16939,8169.48,70,1167.069,16939,1595.789,559.2,4679.37,94151.55,16939,70,70,70
"88938",0,0,0,0,0,0,134.19,134.19,487,134.19,134.19,134.19,134.19,146.2657,134.19,134.19,1023.86,134.19,134.19,268.38,268.38
"88939",0,0,0,0,0,0,0,484,1088.22,0,0,0,484,644.7133,0,0,1934.14,0,0,1762.97,0
"88940",0,0,0,0,0,0,1747.51,1747.51,1279.61,354,0,354,1279.61,582.5033,354,354,1747.51,1279.61,0,0,0
"88941",1,6,6,6,1,0,11771.01,11854.22,3416.87,4167.45,0,1389.15,3416.87,825.7853,500.82,3416.87,12386.78,3416.87,0,9,0
"88942",0,0,0,0,0,0,560.25,560.25,649.64,560.25,89.5,186.75,362.16,199.818,120.5,362.16,1998.18,362.16,89.5,106.5,89.5
"88943",0,0,0,0,0,0,128,977.82,1060,128,419.24,128,398.43,421.3771,128,128,2949.64,128,658.96,2791.5,838.48
"88944",1,0,0,0,0,0,0,327.47,327.47,0,35.26,0,327.47,327.47,0,0,327.47,0,67.62,5198.49,246.82
"88945",0,0,0,0,0,0,2039.95,2039.95,1495,505,589.966,505,1495,469.2583,505,505,2815.55,1495,1144,12624.33,2949.83
"88946",0,0,0,0,0,0,0,0,453.91,0,171.92,0,0,453.91,0,0,453.91,0,233.94,9319.79,343.84
"88947",1,0,0,0,0,0,0,327.47,327.47,0,35.26,0,327.47,327.47,0,0,327.47,0,67.62,5198.49,246.82
"88948",0,0,0,0,0,0,520,564.1,1300,0,1277.833,0,520,710.42,0,0,3552.1,520,2248,8884.88,7667
"88949",0,0,0,0,0,0,32763.24,43749.75,16939,8169.48,0,1167.069,16939,1595.789,559.2,4679.37,94151.55,16939,0,0,0
"88950",1,0,0,0,0,0,0,327.47,327.47,0,35.26,0,327.47,327.47,0,0,327.47,0,67.62,5198.49,246.82
